alpha,c_l,c_d,c_m,ltd,converged
-9.0,-0.5806,0.0708,-0.0469,-8.195,1.0
-8.0,-0.6426,0.04413,-0.0481,-14.57,1.0
-7.0,-0.6006,0.03326,-0.04153,-18.06,1.0
-6.0,-0.532,0.02632,-0.03595,-20.22,1.0
-5.0,-0.4526,0.02205,-0.03122,-20.52,1.0
-4.0,-0.3684,0.01987,-0.02739,-18.55,1.0
-3.0,-0.2844,0.01837,-0.02441,-15.48,1.0
-2.0,-0.1742,0.01743,-0.02513,-10.0,1.0
-1.0,0.02927,0.01773,-0.04092,1.649,1.0
0.0,0.2126,0.01741,-0.05545,12.21,1.0
1.0,0.3674,0.01653,-0.06204,22.22,1.0
2.0,0.4822,0.01605,-0.0602,30.03,1.0
3.0,0.585,0.0161,-0.05603,36.34,1.0
4.0,0.6846,0.01668,-0.05194,41.06,1.0
5.0,0.782,0.01741,-0.04755,44.94,1.0
6.0,0.8755,0.0183,-0.0427,47.88,1.0
7.0,0.956,0.01949,-0.03638,49.06,1.0
8.0,1.013,0.023,-0.02754,44.03,1.0
9.0,1.069,0.02838,-0.01974,37.7,1.0
10.0,1.143,0.03534,-0.01505,32.3,1.0
11.0,1.205,0.0433,-0.00954,27.81,1.0
12.0,1.203,0.05322,0.002092,22.61,1.0
13.0,1.136,0.06714,0.01212,16.9,1.0
14.0,0.98,0.0987,0.0005617,9.93,1.0
15.0,0.8154,0.1786,-0.0379,4.562,1.0
16.0,0.7993,0.1909,-0.04944,4.188,1.0
